Куйбышевский р-н,128
Бердянский р-н,22
Приазовский р-н,131
Токмакский р-н,137
Гуляйпольский р-н,173
Великобелозерский р-н,236
Приморский р-н,262
Михайловский р-н,352
Каменско-Днепровский р-н,354
Новониколаевский р-н,426
Черниговский р-н,501
Розовский р-н,549
г.Токмак,554
Вольнянский р-н,577
Мелитопольский р-н,673
г.Запорожье,684
Запорожский р-н,699
Ореховский р-н,745
Акимовский р-н,773
г.Мелитополь,815
Васильевский р-н,870
Веселовский р-н,877
г.Бердянск,910
Пологовский р-н,944
