Куйбышевский р-н,1248
Бердянский р-н,2142
Приазовский р-н,1131
Токмакский р-н,1237
Гуляйпольский р-н,1473
Великобелозерский р-н,2136
Приморский р-н,2162
Михайловский р-н,3152
Каменско-Днепровский р-н,3454
Новониколаевский р-н,4126
Черниговский р-н,5401
Розовский р-н,5149
г.Токмак,5154
Вольнянский р-н,5177
Мелитопольский р-н,6273
г.Запорожье,6284
Запорожский р-н,6299
Ореховский р-н,7245
Акимовский р-н,7273
г.Мелитополь,8415
Васильевский р-н,8170
Веселовский р-н,1877
г.Бердянск,2910
Пологовский р-н,4944
