Новосанжарский р-н,2337
Оржицкий р-н,917
Полтавский р-н,164
Кобеляцкий р-н,220
г.Лубны,310
Глобинский р-н,316
Чутовский р-н,359
Лохвицкий р-н,383
Машевский р-н,426
Шишацкий р-н,452
Семеновский р-н,479
г.Полтава,536
Решетиловский р-н,571
Карловский р-н,582
Диканский р-н,672
г.Кременчуг,690
Хорольский р-н,723
Кременчугский р-н,726
Козельщинский р-н,729
Пирятинский р-н,737
Чернухинский р-н,772
Гадячский р-н,773
Гребенковский р-н,777
г.Миргород,850
Миргородский р-н,900
Зеньковский р-н,950
Котелевский р-н,961
Лубенский р-н,963
