г.Макеевка,3122
г.Краматорск,3436
г.Харцызск,5234
Торез,6129
Ясиноватая,7124
Селидово,1245
Новоазовский р-н,1255
Шахтерский р-н,2161
Славянский р-н,2200
Тельмановский р-н,2226
г.Мариуполь,2271
Артемовский р-н,3029
г.Донецк,3824
г.Горловка,3293
г.Снежное,4215
Старобешевский р-н,4296
г.Красноармейск,5020
Амвросиевский р-н,5266
Докучаевск,6201
Красноармейский р-н,6633
Авдеевка,7305
м.Слав Купянск,7329
Краснолиманский р-н,7358
Великоновоселковский р-н,7632
Добропольский р-н,7275
г.Шахтерск,7739
м.Енакииве,8231
Первомайский р-н,8243
Волновахский р-н,8730
Марьинский р-н,8272
Ясиноватский р-н,9432
Константиновский р-н,9275
г.Красный Лиман,9738
