Петропавловский р-н,221
Новомосковский р-н,37
Томаковский р-н,62
Верхнеднепровский р-н,88
Солонянский р-н,139
г.Першотравенск,140
Криничанский р-н,181
г.Днепродзержинск,246
Днепропетровский р-н,257
Софиевский р-н,257
Никопольский р-н,280
Синельниково,282
г.Никополь,319
Апостоловский р-н,413
Межевской р-н,453
г.Павлоград,476
Желтые воды,562
Юрьевский р-н,679
Царичанский р-н,713
Пятихатский р-н,733
Магдалиновский р-н,735
Павлоградский р-н,759
Криворожский р-н,763
Покровский р-н,786
Петриковский р-н,817
г.Кривой Рог,840
Широковский р-н,869
Синельниковский р-н,890
г.Днепропетровск,962
