Ульяновский р-н,4117
Гайворонский р-н,7242
Петровский р-н,1711
Новомиргородский р-н,2403
Новоукраинский р-н,2433
Кировоградский р-н,3489
Ольшанский р-н,3490
Голованевский р-н,4434
Новоархангельский р-н,4448
г.Кировоград,5495
г.Знамянка,6443
Добровеличковский р-н,6462
Устиновский р-н,6275
Долинский р-н,6479
Компанеевский р-н,6492
Новгородковский р-н,7209
Маловисковский р-н,7114
Александровский р-н,8127
Бобринецкий р-н,9202
Онуфриевский р-н,9428
Александрийский р-н,9447
Знаменский р-н,9159
Александрия,9270
