Деражнянский р-н,565
г. Каменец-Подольский,553
Чемеровецкий р-н,861
Староконстантиновский р-н,941
Городецкий р-н,169
Волочисский р-н,185
Виньковецкий р-н,193
Шепетовский р-н,194
Изяславский р-н,262
Каменец-Подольский р-н,321
г.Хмельницкий,382
Шепетовка,394
Новоушицкий р-н,405
Белогорский р-н,424
Полонский р-н,439
Хмельницкий р-н,456
Старосинявский р-н,470
Красиловский р-н,487
Дунаевецкий р-н,559
Ярмолинецкий р-н,573
Теофипольский р-н,616
Славутский р-н,830
Летичевский р-н,838
